Publication,First Name,Last Name,Constituency,Caucus,Province,Date,Time,Page,Text,Source File,P,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Hansard - 233,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-17,16:48:46,15224.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1645)[English]Mr. Speaker, the second petition calls for the Government of Canada to collaborate with the provinces to put in place a national strategy for extended producer responsibility.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 233,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-17,17:49:34,15238.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1745)[English]Mr. Speaker, I want to thank my friend and neighbour from Victoria for an excellent speech. I also want to pay particular tribute to another member of his caucus, the hon. member for Terrebonne-Blainville, who had put forward, as he mentioned in his speech, an excellent private member's bill, which would have gone much further in dealing with the current issues that this bill fails to grapple with effectively. We missed opportunities here, and I agree that after so many years of inaction it is a shame to pass a bill that could be so efficaciously improved. I also had amendments before committee in clause-by-clause study that were similar to those put forward by the member for Terrebonne-Blainville, and they were all rejected, so I lament that. Perhaps my research has not been as exhaustive as the research the hon. member's student is now doing, but I did examine the records of this place for time allocations when they first began to be used routinely. I found seven examples of time allocation between 1920 and 1954. As we all know, in the last four years we have experienced 100 time allocations. I am 99% certain that the Conservative administration in this Parliament has broken all records for shutting down debate by an order of magnitude.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 233,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-17,18:04:14,15240.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1800)[English]Mr. Speaker, I want to say to my hon. colleague for Kingston and the Islands that spontaneous rounds of applause when a colleague stands to give a speech in this place are not common, but I had a feeling that since he is choosing not to run again, perhaps this is my last chance to give him a round of applause. Having a scientist in this place, someone with a Ph.D. in physics, is very helpful. I have always been somewhat in awe of my colleague from Kingston and the Islands.I want to second his concern about the course of review of legislation in parliamentary committees. I had the great good fortune, although I have only had the honour of serving here since 2011, to serve in the administration of former prime minister Brian Mulroney. I was not a member of his party, but I was fortunate to be working with the minister of the environment and steered many bills through committees. There was non-partisan co-operation. That was the usual approach. Members of all parties within committees listened to witnesses. They never browbeat them. They listened respectfully. They asked questions about things that they thought would serve the committee in finding better public policy. It is new to have parliamentary secretaries sitting in committee holding the Conservative members at committee to whipped votes and often to scripted speeches and questions.I just want to reinforce what my friend from Kingston and the Islands has said and ask him to expand on how we can ensure that Parliament returns to its true function of non-partisan, thoughtful, evidence-based review of legislation.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 232,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-16,16:20:22,15171.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1620)[English]Mr. Speaker, I thank my hon. colleague for her presentation.For those who might be looking at the bill for the first time or those who might be observing us from home, the difficulty with the bill is that much of it, in fact 95% of what is in the bill, deals with matters that are already illegal. Canada has never allowed honour killings, because we have never allowed killings. They go in the general category of murder. Similarly, polygamy is already illegal in Canada, and to my knowledge, people who interview refugees coming to Canada would not allow people to come in if they were in a polygamous union in any case. However, my concern is where the bill goes beyond being merely useless and propaganda, where it might actually do some damage. Members of the criminal bar who testified before the committee testified that there is no example in Canadian history where the defence of provocation has been used in a case such as an honour killing. Provocation by its very nature in law requires a response that is essentially on the spur of the moment, where passions are riled up. For example, if one sees a person who committed violence against one's wife, on the street, unexpectedly, the defence of provocation can move what would have been murder to manslaughter. In an honour killing situation, provocation does not fit at all and could never be used. However, the change to the defence of provocation in the proposed act, according to the advice from the former head of the criminal bar within the Canadian Bar Association, is that this could do damage to criminal justice in Canada. I ask my hon. colleague, who is also an hon. friend, if she is not concerned that the bill, which is generally dealing with things that are already illegal, may actually make it so that the defence of provocation for people in genuine instances of being provoked lose access to that defence in Canadian law.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 232,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-16,20:08:48,15197.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (2005)[English]Mr. Speaker, I rise tonight in adjournment proceedings to pursue a question I initially asked on April 30. Tragically, and I do believe it is a tragedy for our country, the subject of my question, the so-called anti-terrorism act, Bill C-51, has now passed the House under time allocation. It was pushed through without adequate study. It has also been passed in the Senate of our country. I do believe the Senate has a role for sober second thought and it should have put forward amendments, and those amendments should have come back to the House for further consideration.However, as it happens, my opportunity to pursue the question that I had asked on April 30 comes today on June 16, so I will pursue it in the interest of public education and perhaps even the education of members opposite.There are many critical issues before us in Bill C-51 such as the infringement on our civil liberties, while simultaneously making us less safe, less able to anticipate, interrupt and prevent terrorist attacks. A bill that makes us less safe while destroying our Charter of Rights and Freedoms is quite an accomplishment, if one takes a dark view of things. However, the question I asked back on April 30 related in a very straightforward fashion to terminology used by the Minister of Public Safety. There has been an attempt throughout the sales job on Bill C-51 to tell us that it includes the concept of oversight. Moreover, the Minister of Public Safety claimed that it includes judicial oversight. In fact, it includes no such thing.In the time remaining, I hope to set out what I have learned about judicial oversight, review and warrant provisions from many expert witnesses who testified before the House and the Senate, and drawing on my own background as a practising lawyer.The reality is that Canada has no parliamentary oversight of security operations. There is no actual oversight of any security operations and less review than any other country within our Five Eyes partners.The question I asked on April 30 was answered, or at least responded to, by the government House leader who said, “We chose to have judges review these matters rather than politicians”. He claims that there is judicial oversight because there is a requirement for a CSIS agent, under part 4 of the bill, to get a warrant from a Federal Court judge before breaking our domestic laws or violating our charter rights. It is an extraordinary provision. Legal experts, such as Professor Craig Forcese and Professor Kent Roach, described that provision in part 4 as a “constitutional breach warrant”. It is unheard of in any democracy around the world to be able to go to a Federal Court judge in a private, secret hearing, with no public advocates such as the special advocates that we have in the case of security certificates. No public interest representation is in the room, just the CSIS agents, a Federal Court judge and a demand for a warrant. What are these various terms?“Review” is what the Security Intelligence Review Committee does. It is made up of a series of people, part-time, who meet infrequently to review what has already happened. In the case of the Canadian Border Services, it does not have review oversight or oversight. The RCMP has a public complaints commission that allows complaints to be heard, but no actual oversight. CSIS, the Canadian Security Intelligence Service, has no oversight or review.An expert on security from the U.K., Mr. Fogarty, an MI5 agent, spoke to the Senate and said that when asked by his U.K. colleagues what they would copy in the U.K. from the Canadian security system, he replied that he would urge that they not copy a single thing because Canada's security system was a disaster waiting to happen.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 232,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-16,20:16:05,15198.0,"Ms. Elizabeth May: (2015)[English]Mr. Speaker, I would urge any hon. member in this place who is genuinely interested in understanding what oversight means to read the hundreds of pages of legal evidence prepared by professors Forcese and Kent Roach, which makes it abundantly clear that, with all due respect to my colleague the Parliamentary Secretary to the Minister of Transport-and of course this is not his file-there is absolutely no connection between granting a warrant and judicial oversight.It is like saying, “Look here: she is demanding we provide a horse, but we have this perfectly adequate pig over here.” We are talking about different species of activities. There is no connection. There is no overlap. We are talking about apples and oranges, and they are relying on apples.What we need is oversight. We need to ensure pinnacle oversight. As the former chief justice of our supreme court John Major, who headed the Air India inquiry, said, this bill should not be passed without a security advisor to the Prime Minister. He said we need a national security advisor to be sure that the RCMP tells CSIS what it is doing, that CSIS tells the RCMP what it is doing, and in this whole mess that somebody has oversight, because right now, we have the weakest review and the weakest oversight of any country in the Five Eyes.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 229,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-11,10:17:05,14928.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1015)[English]Mr. Speaker, due to the numerous time allocations this week and lack of time for petitions, I have three, but I will try to move quickly.The first petition is from residents of Saanich-Gulf Islands who are calling for the end of the winner-take-all voting system in this country, otherwise known as “first past the post”, and calling upon the House of Commons to undertake public consultations across Canada to amend the Canada Elections Act to come up with a fair voting system in which every vote counts.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 229,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-11,10:18:16,14928.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1015)[English]Mr. Speaker, the second petition, again from residents of Saanich-Gulf Islands, deals with the issue of marine protected areas. The petitioners are calling for the creation of more marine protected areas, but also for a simplification of their regulation within Fisheries and Oceans. The petitioners point out that there are currently 11 different classifications for MPAs and that they can be regulated by different branches of government.They ask the Minister of Fisheries and Oceans to work with the government branches to come up with a simplified and more effective system.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 229,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-11,10:18:16,14928.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1015)[English]Mr. Speaker, the last petition, again from petitioners within my own riding, calls for the government to undertake an affordable housing plan and program, engaging the Federation of Canadian Municipalities; and calls for one particular measure to change the tax regime to encourage the building of purpose-built rental housing that would be affordable.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 229,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-11,10:46:50,14934.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1045)[English]Mr. Speaker, Quanto's law is an important step in recognizing the importance of what service animals do. I agree with my colleague from the NDP that we need better protections under the Criminal Code for animals of all types, particularly because law enforcement agents often say that if they find out that someone has been cruel to animals in a sadistic fashion, it can be a predictor of criminal behaviour. It is very important that we do more to protect all animals and act on acts of cruelty against all animals.If I have enough time, June 18 is the 200th anniversary of the Battle of Waterloo. I wanted to share with my friend across the way the gallantry of the British cavalry. A wealthy lord sent an expedition to recover the horses of the Duke of Wellington's army and brought them back to pastures to reward them for their bravery. It was reported that they would spontaneously cease grazing, look at each other, suddenly form a line, and charge.These service animals are of a different category, and I am happy to support this law.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 228,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-10,15:10:48,14877.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1510)[English]Mr. Speaker, my question is for the hon. Minister of Veterans Affairs, who is taking defence questions today.While I was very honoured to participate at the official opening of 443 Maritime Helicopter Squadron in my riding in April, there are a lot of local concerns about the potential for increased noise as four out of the six aging Sea Kings are retired and nine Cyclone helicopters take over. I wonder if the hon. minister has had an opportunity to look into this matter, which is of grave local concern.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 228,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-10,15:41:16,14882.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1540)[English]Mr. Speaker, I regret that it is the Minister of State for Finance who has to answer questions for what is really a move by the Prime Minister's Office and the government House leader to, for the 100th time in this Parliament, shut down debate prematurely. It is particularly egregious when it is done in the case of an omnibus budget bill with many separate sections, none of which received adequate study in committee and now will be rushed through this place. I think very highly of my hon. friend, and the Minister of State for Finance is a friend. I would not want to assume that he had anything to do with wanting to shut down debate and deprive members of Parliament, like myself, of an opportunity to adequately debate and study the bill. I will put to him that I do not think it had anything whatsoever to do with the budget to decide to imagine away the access to information law, which currently stands as law of the land, to remove it at a time when the information commissioner had already put the Minister of Public Safety on notice that she believed a crime had been committed and required investigation. Now the substance of that criminal act is to be erased retroactively. ",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 228,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-10,17:32:18,14893.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1730)[English]Mr. Speaker, as members in this place will know, I am deeply disturbed by the number of measures buried in Bill C-59 that are dangerous for this country and that are extremely anti-democratic, particularly the changes being made post facto, retroactively, to access to information.I had initially welcomed the changes to protect interns, until I saw the submission from the Canadian Intern Association and realized how much we are failing interns. I asked the hon. minister if she had reviewed the testimony from this organization. Its members certainly are very concerned. I will just quote from their brief:We submit that the amendments to the Canada Labour Code proposed in Division 7 offer inadequate workplace rights to students, interns, unpaid persons and entry-level employees working for federally regulated employers.These are some of our most vulnerable and precarious workers, and we are not protecting them.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 228,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-10,18:38:53,14898.0,"Ms. Elizabeth May: (1835)[Translation]Mr. Speaker, I agree to apply the vote, and the Green Party votes yes.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 228,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-10,18:41:57,14899.0,"Ms. Elizabeth May: (1840)[English]Mr. Speaker, I am extremely pleased to register that I vote in favour of my amendment.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 228,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-10,18:44:27,14901.0,"Ms. Elizabeth May: (1840)[English]Mr. Speaker, I agree to apply the vote and the Green party votes yes.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 228,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-10,18:46:53,14902.0,"Ms. Elizabeth May: (1845)[Translation]Mr. Speaker, the Green Party is also in favour of this motion.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 228,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-10,18:48:42,14903.0,"Ms. Elizabeth May: (1845)[English]Mr. Speaker, the Green Party once again votes for our amendment.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 228,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-10,18:50:28,14905.0,"Ms. Elizabeth May: (1850)[English]I am voting yes, Mr. Speaker.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 228,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-10,18:52:21,14906.0,"Ms. Elizabeth May: (1850)[Translation]Mr. Speaker, the Green Party is in favour of the motion.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 227,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-09,10:32:31,14785.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1030)[English]Mr. Speaker, not being a member of the committee, I was very interested in the member's observations.I am particularly concerned about the number of veterans with post traumatic stress disorder who have told me that they are not able to get something they believe would be of great assistance to them. If this is not too far off the member's earlier comments, I wonder if he has any insights on access to service dogs, which I understand from a lot of veterans with PTSD is something that has been showing remarkably good results.",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
Hansard - 227,Elizabeth,May,Saanich-Gulf Islands,GP,BC,2015-06-09,11:36:24,14789.0,"Ms. Elizabeth May (Saanich-Gulf Islands, GP): (1135)[English]Mr. Speaker, members will know that the 99th time we have time allocation used marks a new low point for democracy in this Parliament and that the rights of members in smaller parties are more infringed upon than those of others, because we will have less opportunity to debate due to time allocation. I know that the hon. government House leader is not responding to the questions about his abuse of this process, so I will put my question to the Minister of Citizenship and Immigration on the subject of this absurd bill, the zero tolerance for barbaric cultural practices act, and ask, while he is in such high dudgeon about violence against women, how it is that when missing and murdered aboriginal women call out for an inquiry we are told by the current government, “Don't worry. It's a criminal matter. It's already covered by the law. We don't need an inquiry”. Yet when practices that are already illegal, like honour killing and polygamy, are raised, we need a new piece of legislation, which will impinge on constitutional and useful defences, such as the defence of provocation, which could never be used in an honour killing. We are told that it requires a special new law, which is more election propaganda than public policy.How does the minister square his government's response to the crisis of missing and murdered aboriginal women with the much rarer cases of alleged forced polygamy?",Elizabeth May - Chamber Interventions - 41st Parliament.csv,,,,,,,,,,
